# 37 out of 37 mutations
6 #trees
11 #edges, tree 1
48 51;53
48 49
12;15;20;23;28;31;32;34;35;39;41;43;44;45 50
12;15;20;23;28;31;32;34;35;39;41;43;44;45 48
7;14;17;18;19;21;25;30;33;38;42 52
7;14;17;18;19;21;25;30;33;38;42 46
3;4 12;15;20;23;28;31;32;34;35;39;41;43;44;45
3;4 7;14;17;18;19;21;25;30;33;38;42
0 3;4
0 2
0 1
11 #edges, tree 2
48 51;53
12;15;20;23;28;31;32;34;35;39;41;43;44;45 50
12;15;20;23;28;31;32;34;35;39;41;43;44;45 48
46 49
7;14;17;18;19;21;25;30;33;38;42 52
7;14;17;18;19;21;25;30;33;38;42 46
3;4 12;15;20;23;28;31;32;34;35;39;41;43;44;45
3;4 7;14;17;18;19;21;25;30;33;38;42
0 3;4
0 2
0 1
11 #edges, tree 3
48 51;53
12;15;20;23;28;31;32;34;35;39;41;43;44;45 50
12;15;20;23;28;31;32;34;35;39;41;43;44;45 48
7;14;17;18;19;21;25;30;33;38;42 49
7;14;17;18;19;21;25;30;33;38;42 52
7;14;17;18;19;21;25;30;33;38;42 46
3;4 12;15;20;23;28;31;32;34;35;39;41;43;44;45
3;4 7;14;17;18;19;21;25;30;33;38;42
0 3;4
0 2
0 1
11 #edges, tree 4
51;53 1
48 51;53
48 49
12;15;20;23;28;31;32;34;35;39;41;43;44;45 50
12;15;20;23;28;31;32;34;35;39;41;43;44;45 48
7;14;17;18;19;21;25;30;33;38;42 52
7;14;17;18;19;21;25;30;33;38;42 46
3;4 12;15;20;23;28;31;32;34;35;39;41;43;44;45
3;4 7;14;17;18;19;21;25;30;33;38;42
0 3;4
0 2
11 #edges, tree 5
51;53 1
48 51;53
12;15;20;23;28;31;32;34;35;39;41;43;44;45 50
12;15;20;23;28;31;32;34;35;39;41;43;44;45 48
7;14;17;18;19;21;25;30;33;38;42 49
7;14;17;18;19;21;25;30;33;38;42 52
7;14;17;18;19;21;25;30;33;38;42 46
3;4 12;15;20;23;28;31;32;34;35;39;41;43;44;45
3;4 7;14;17;18;19;21;25;30;33;38;42
0 3;4
0 2
11 #edges, tree 6
51;53 1
48 51;53
12;15;20;23;28;31;32;34;35;39;41;43;44;45 50
12;15;20;23;28;31;32;34;35;39;41;43;44;45 48
46 49
7;14;17;18;19;21;25;30;33;38;42 52
7;14;17;18;19;21;25;30;33;38;42 46
3;4 12;15;20;23;28;31;32;34;35;39;41;43;44;45
3;4 7;14;17;18;19;21;25;30;33;38;42
0 3;4
0 2
