414 #trees
2 8;11
2 13;16;17;18
8;11 4;5
8;11 15
3 10;14
8 #edges
0;1 2
0;1 3
0;1 6;7;9;12
2 8;11
2 13;16;17;18
2 15
8;11 4;5
3 10;14
8 #edges
0;1 2
0;1 3
0;1 6;7;9;12
2 8;11
2 13;16;17;18
8;11 4;5
3 15
15 10;14
8 #edges
0;1 2
0;1 3
0;1 6;7;9;12
2 8;11
2 13;16;17;18
2 15
3 10;14
15 4;5
8 #edges
0;1 2
0;1 3
0;1 6;7;9;12
2 8;11
2 13;16;17;18
2 15
3 10;14
10;14 4;5
8 #edges
0;1 2
0;1 3
0;1 6;7;9;12
2 8;11
2 13;16;17;18
8;11 15
3 10;14
10;14 4;5
8 #edges
0;1 2
0;1 3
0;1 6;7;9;12
2 8;11
2 13;16;17;18
8;11 15
3 10;14
15 4;5
8 #edges
0;1 2
0;1 3
0;1 6;7;9;12
2 8;11
2 13;16;17;18
3 15
10;14 4;5
15 10;14
8 #edges
0;1 2
0;1 6;7;9;12
2 8;11
2 13;16;17;18
2 15
8;11 3
3 10;14
15 4;5
8 #edges
0;1 2
0;1 6;7;9;12
2 8;11
2 13;16;17;18
2 15
8;11 3
8;11 4;5
3 10;14
8 #edges
0;1 2
0;1 6;7;9;12
2 8;11
2 13;16;17;18
2 15
8;11 3
3 10;14
3 4;5
8 #edges
0;1 2
0;1 6;7;9;12
2 8;11
2 13;16;17;18
2 15
8;11 3
3 10;14
10;14 4;5
8 #edges
0;1 2
0;1 6;7;9;12
2 8;11
2 13;16;17;18
8;11 3
8;11 15
3 10;14
3 4;5
8 #edges
0;1 2
0;1 6;7;9;12
2 8;11
2 13;16;17;18
8;11 3
8;11 15
3 10;14
10;14 4;5
8 #edges
0;1 2
0;1 6;7;9;12
2 8;11
2 13;16;17;18
8;11 3
8;11 15
3 10;14
15 4;5
8 #edges
0;1 2
0;1 6;7;9;12
2 8;11
2 13;16;17;18
8;11 3
8;11 4;5
3 15
15 10;14
8 #edges
0;1 2
0;1 6;7;9;12
2 8;11
2 13;16;17;18
8;11 3
3 15
10;14 4;5
15 10;14
8 #edges
0;1 2
0;1 3
0;1 4;5
0;1 15
2 8;11
2 13;16;17;18
3 10;14
3 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 4;5
0;1 15
2 8;11
2 13;16;17;18
3 10;14
4;5 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 4;5
0;1 15
2 8;11
2 13;16;17;18
2 6;7;9;12
3 10;14
8 #edges
0;1 2
0;1 3
0;1 4;5
0;1 15
2 8;11
2 13;16;17;18
8;11 6;7;9;12
3 10;14
8 #edges
0;1 2
0;1 3
0;1 4;5
0;1 15
2 8;11
2 13;16;17;18
3 10;14
15 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 4;5
0;1 15
2 8;11
2 13;16;17;18
3 10;14
10;14 6;7;9;12
8 #edges
0;1 2
0;1 4;5
0;1 15
2 8;11
2 13;16;17;18
8;11 3
8;11 6;7;9;12
3 10;14
8 #edges
0;1 2
0;1 4;5
0;1 15
2 8;11
2 13;16;17;18
8;11 3
3 10;14
4;5 6;7;9;12
8 #edges
0;1 2
0;1 4;5
0;1 15
2 8;11
2 13;16;17;18
8;11 3
3 10;14
15 6;7;9;12
8 #edges
0;1 2
0;1 4;5
0;1 15
2 8;11
2 13;16;17;18
2 6;7;9;12
8;11 3
3 10;14
8 #edges
0;1 2
0;1 4;5
0;1 15
2 8;11
2 13;16;17;18
8;11 3
3 10;14
3 6;7;9;12
8 #edges
0;1 2
0;1 4;5
0;1 15
2 8;11
2 13;16;17;18
8;11 3
3 10;14
10;14 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 4;5
2 8;11
2 13;16;17;18
8;11 15
3 10;14
4;5 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 4;5
2 8;11
2 13;16;17;18
2 15
3 10;14
4;5 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 4;5
2 8;11
2 13;16;17;18
3 15
4;5 6;7;9;12
15 10;14
8 #edges
0;1 2
0;1 4;5
2 8;11
2 13;16;17;18
8;11 3
3 15
4;5 6;7;9;12
15 10;14
8 #edges
0;1 2
0;1 4;5
2 8;11
2 13;16;17;18
8;11 3
8;11 15
3 10;14
4;5 6;7;9;12
8 #edges
0;1 2
0;1 4;5
2 8;11
2 13;16;17;18
2 15
8;11 3
3 10;14
4;5 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 4;5
2 8;11
2 13;16;17;18
2 15
3 10;14
3 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 4;5
2 8;11
2 13;16;17;18
8;11 15
3 10;14
3 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 4;5
2 8;11
2 13;16;17;18
2 15
3 10;14
10;14 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 4;5
2 8;11
2 13;16;17;18
8;11 15
3 10;14
10;14 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 4;5
2 8;11
2 13;16;17;18
2 6;7;9;12
8;11 15
3 10;14
8 #edges
0;1 2
0;1 3
0;1 4;5
2 8;11
2 13;16;17;18
2 15
8;11 6;7;9;12
3 10;14
8 #edges
0;1 2
0;1 3
0;1 4;5
2 8;11
2 13;16;17;18
2 15
3 10;14
15 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 4;5
2 8;11
2 13;16;17;18
8;11 15
3 10;14
15 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 4;5
2 8;11
2 13;16;17;18
8;11 6;7;9;12
8;11 15
3 10;14
8 #edges
0;1 2
0;1 3
0;1 4;5
2 8;11
2 13;16;17;18
3 15
15 10;14
15 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 4;5
2 8;11
2 13;16;17;18
3 15
10;14 6;7;9;12
15 10;14
8 #edges
0;1 2
0;1 3
0;1 4;5
2 8;11
2 13;16;17;18
8;11 6;7;9;12
3 15
15 10;14
8 #edges
0;1 2
0;1 3
0;1 4;5
2 8;11
2 13;16;17;18
2 6;7;9;12
3 15
15 10;14
8 #edges
0;1 2
0;1 4;5
2 8;11
2 13;16;17;18
2 6;7;9;12
8;11 3
8;11 15
3 10;14
8 #edges
0;1 2
0;1 4;5
2 8;11
2 13;16;17;18
2 6;7;9;12
8;11 3
3 15
15 10;14
8 #edges
0;1 2
0;1 4;5
2 8;11
2 13;16;17;18
2 15
8;11 3
8;11 6;7;9;12
3 10;14
8 #edges
0;1 2
0;1 4;5
2 8;11
2 13;16;17;18
8;11 3
8;11 6;7;9;12
3 15
15 10;14
8 #edges
0;1 2
0;1 4;5
2 8;11
2 13;16;17;18
8;11 3
8;11 6;7;9;12
8;11 15
3 10;14
8 #edges
0;1 2
0;1 4;5
2 8;11
2 13;16;17;18
8;11 3
8;11 15
3 10;14
15 6;7;9;12
8 #edges
0;1 2
0;1 4;5
2 8;11
2 13;16;17;18
8;11 3
8;11 15
3 10;14
3 6;7;9;12
8 #edges
0;1 2
0;1 4;5
2 8;11
2 13;16;17;18
8;11 3
8;11 15
3 10;14
10;14 6;7;9;12
8 #edges
0;1 2
0;1 4;5
2 8;11
2 13;16;17;18
2 15
8;11 3
3 10;14
3 6;7;9;12
8 #edges
0;1 2
0;1 4;5
2 8;11
2 13;16;17;18
8;11 3
3 15
10;14 6;7;9;12
15 10;14
8 #edges
0;1 2
0;1 4;5
2 8;11
2 13;16;17;18
8;11 3
3 15
15 10;14
15 6;7;9;12
8 #edges
0;1 2
0;1 4;5
2 8;11
2 13;16;17;18
2 15
8;11 3
3 10;14
15 6;7;9;12
8 #edges
0;1 2
0;1 4;5
2 8;11
2 13;16;17;18
2 15
8;11 3
3 10;14
10;14 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
2 4;5
2 6;7;9;12
3 10;14
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
2 6;7;9;12
3 10;14
15 4;5
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
2 6;7;9;12
3 10;14
3 4;5
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
2 6;7;9;12
3 10;14
10;14 4;5
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
2 6;7;9;12
8;11 4;5
3 10;14
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
2 4;5
3 10;14
15 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
3 10;14
15 4;5
15 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
3 10;14
10;14 4;5
15 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
8;11 4;5
3 10;14
15 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
3 10;14
3 4;5
15 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
2 4;5
3 10;14
4;5 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
2 4;5
3 10;14
3 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
2 4;5
8;11 6;7;9;12
3 10;14
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
2 4;5
3 10;14
10;14 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
3 10;14
4;5 6;7;9;12
15 4;5
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
3 10;14
3 6;7;9;12
15 4;5
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
8;11 6;7;9;12
3 10;14
15 4;5
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
3 10;14
10;14 6;7;9;12
15 4;5
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
3 10;14
3 6;7;9;12
10;14 4;5
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
8;11 4;5
3 10;14
3 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
3 10;14
3 4;5
4;5 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
8;11 6;7;9;12
3 10;14
3 4;5
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
3 10;14
3 4;5
10;14 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
8;11 4;5
8;11 6;7;9;12
3 10;14
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
8;11 6;7;9;12
3 10;14
10;14 4;5
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
8;11 4;5
3 10;14
10;14 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
8;11 4;5
3 10;14
4;5 6;7;9;12
8 #edges
0;1 2
0;1 3
0;1 15
2 8;11
2 13;16;17;18
3 10;14
10;14 4;5
4;5 6;7;9;12
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
3 10;14
15 4;5
15 6;7;9;12
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
2 4;5
8;11 3
3 10;14
15 6;7;9;12
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
8;11 4;5
3 10;14
15 6;7;9;12
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
3 10;14
10;14 4;5
15 6;7;9;12
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
3 10;14
3 4;5
15 6;7;9;12
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
8;11 6;7;9;12
3 10;14
15 4;5
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
8;11 4;5
8;11 6;7;9;12
3 10;14
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
8;11 6;7;9;12
3 10;14
3 4;5
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
2 4;5
8;11 3
8;11 6;7;9;12
3 10;14
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
8;11 6;7;9;12
3 10;14
10;14 4;5
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
2 6;7;9;12
8;11 3
3 10;14
15 4;5
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
3 10;14
4;5 6;7;9;12
15 4;5
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
3 10;14
10;14 6;7;9;12
15 4;5
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
3 10;14
3 6;7;9;12
15 4;5
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
2 6;7;9;12
8;11 3
8;11 4;5
3 10;14
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
2 6;7;9;12
8;11 3
3 10;14
3 4;5
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
2 4;5
2 6;7;9;12
8;11 3
3 10;14
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
2 6;7;9;12
8;11 3
3 10;14
10;14 4;5
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
8;11 4;5
3 10;14
10;14 6;7;9;12
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
8;11 4;5
3 10;14
4;5 6;7;9;12
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
8;11 4;5
3 10;14
3 6;7;9;12
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
2 4;5
8;11 3
3 10;14
3 6;7;9;12
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
2 4;5
8;11 3
3 10;14
4;5 6;7;9;12
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
2 4;5
8;11 3
3 10;14
10;14 6;7;9;12
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
3 10;14
3 6;7;9;12
10;14 4;5
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
3 10;14
3 4;5
4;5 6;7;9;12
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
3 10;14
3 4;5
10;14 6;7;9;12
8 #edges
0;1 2
0;1 15
2 8;11
2 13;16;17;18
8;11 3
3 10;14
10;14 4;5
4;5 6;7;9;12
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
8;11 4;5
8;11 15
3 10;14
3 6;7;9;12
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
8;11 15
3 10;14
3 6;7;9;12
15 4;5
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
8;11 15
3 10;14
3 6;7;9;12
10;14 4;5
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
2 4;5
8;11 15
3 10;14
3 6;7;9;12
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
2 15
8;11 4;5
3 10;14
3 6;7;9;12
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
2 15
3 10;14
3 6;7;9;12
15 4;5
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
2 15
3 10;14
3 6;7;9;12
10;14 4;5
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
2 15
3 10;14
3 4;5
10;14 6;7;9;12
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
8;11 15
3 10;14
3 4;5
10;14 6;7;9;12
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
2 6;7;9;12
8;11 15
3 10;14
3 4;5
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
2 15
3 10;14
3 4;5
4;5 6;7;9;12
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
2 15
3 10;14
3 4;5
15 6;7;9;12
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
2 15
8;11 6;7;9;12
3 10;14
3 4;5
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
8;11 15
3 10;14
3 4;5
4;5 6;7;9;12
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
8;11 15
3 10;14
3 4;5
15 6;7;9;12
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
8;11 6;7;9;12
8;11 15
3 10;14
3 4;5
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
8;11 4;5
3 15
4;5 6;7;9;12
15 10;14
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
8;11 4;5
3 15
15 10;14
15 6;7;9;12
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
2 6;7;9;12
8;11 4;5
3 15
15 10;14
8 #edges
0;1 2
0;1 3
2 8;11
2 13;16;17;18
8;11 4;5
